obs,Comments,time..2,elapsed,date,hhmmss,averaging,id,machine,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo..52,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID..78,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID..86,Duration,Fo..88,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..105,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time..156,hhmmss..157,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,AccH2O_hum,AccCO2_soda,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,week
1,NA,1658941793,0,7/27/22 12:09,12:09:53,5,e_y_630_35,ozzie,1658941785,0.01203743,12.03742983,42.49666687,391.5707477,286.2066326,25.87244992,35.39713412,0.780752495,3.547478069,0.696366203,0.442048184,321.5145183,26.27697389,26.27697389,3.429958113,52.50370381,1.913519925,3.64454274,1.516438188,-530.8506557,197.296482,11.97776014,-0.061895188,42.68563068,12.07374782,42.49666687,425.9753203,400.0960061,0.003884877,66.33,12.03742983,14.08070903,21.16258061,-0.001971414,88.64065073,0,0,1,0,48180,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.022903,1681.216577,0.840598662,0.160755418,3,0.5,0: Broadleaf,2,TRUE,1658941785,391.5707742,420.0172581,21.16777097,14.07724839,385.7482581,20.84456774,500.0269032,90.34844194,0.049358016,27.30858065,27.30759677,999.9,0,0,10002.90323,0,15.98549032,-28.44659355,400.0385161,426.0144194,7.09051,420.0172581,14.07724839,1.912475484,1.271858387,16.73773226,10.47036452,2000.022903,0.979995258,0.020004658,0,811.6430645,5.00063,15986.76129,17257.07419,38.437,38.437,37.937,37.687,39.395,1955.111613,39.91129032,0,1658941794,0,811.6380385,-1.400717955,-27.12820523,15986.19615,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-28.4457439,0.281101045,0.108243119,1,811.6872647,-0.894285717,0.213475485,1,7.085225122,0.028721394,0.017615199,1,3,3,3-Mar,2.97359,2.70266,0.085689,0.0915784,0.0946035,0.071505,35643.8,38692,35328.1,38629.9,45348.1,51794.1,55213.9,61947,1.9926,1.8404,0.120699,0,25.3246,999.9,52.399,28.601,22.794,60.165,47.7724,1,-0.0541463,0.133551,20.1127,5.19573,12.004,4.9752,3.2936,9999,9999,9999,618.6,1.86325,1.86801,1.86783,1.86905,1.86984,1.86584,1.86691,1.86832,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.823,0.3227,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23169.4,23169.4,1.02905,2.59521,1.54785,2.30713,1.34644,2.33154,32.9537,24.2188,18,503.854,406.483,25.0001,26.5384,30.0005,26.4622,26.4042,20.5364,40.037,50.3028,25,413.279,14.1782,102.431,103.121,6
2,NA,1658941798,5,7/27/22 12:09,12:09:58,5,e_y_630_35,ozzie,1658941790,0.01203193,12.03193035,43.14413119,391.589042,284.6446538,25.73119282,35.39870857,0.779601223,3.548252943,0.695465556,0.441466171,321.5148306,26.28085867,26.28085867,3.430745022,52.48300437,1.913042896,3.645071235,1.517702126,-530.6081283,197.069804,11.96176642,-0.061727288,41.87987339,12.06254187,43.14413119,425.3340415,399.7260242,-0.134731948,66.33,12.03193035,14.0873067,21.15481212,-0.000238118,88.64065073,0,0,1,0,47953,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.024828,1681.218196,0.840598663,0.16075542,3,0.5,0: Broadleaf,2,TRUE,1658941790,391.589069,419.5493103,21.16254138,14.07864138,385.7664828,20.83957586,500.0325172,90.34837241,0.049225003,27.31105517,27.30877931,999.9,0,0,10006.03448,0,15.98236897,-27.96035517,400.0551379,425.5404483,7.083889655,419.5493103,14.07864138,1.912001724,1.271983103,16.73383448,10.47182759,2000.024828,0.979995241,0.020004676,0,811.5843448,5.00063,15984.73448,17257.08621,38.437,38.43272414,37.937,37.687,39.4027931,1955.113448,39.91137931,0,1658941799,0,811.5501538,-1.040410269,-23.94529927,15984.40769,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-28.216385,4.115770356,0.729688623,0,811.6414412,-0.891077166,0.224203452,1,7.086181,-0.097749568,0.016694714,1,2,3,3-Feb,2.97432,2.70279,0.0855983,0.0907159,0.0945873,0.0714515,35647.2,38729.3,35328,38630.5,45349.5,51797.7,55214.6,61947.7,1.9924,1.8404,0.120848,0,25.3289,999.9,52.301,28.611,22.7626,60.295,47.3317,1,-0.0538211,0.132898,20.1133,5.19932,12.004,4.976,3.294,9999,9999,9999,618.6,1.86322,1.86798,1.86783,1.86905,1.86981,1.86587,1.86694,1.86832,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.819,0.3225,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23169.5,23169.5,1.00342,2.6001,1.54785,2.30591,1.34644,2.35352,32.9537,24.2188,18,503.742,406.483,24.9999,26.5406,30.0006,26.4645,26.4042,20.0574,39.104,50.3028,25,399.794,14.3108,102.431,103.122,6
3,NA,1658941803,10,7/27/22 12:10,12:10:03,5,e_y_630_35,ozzie,1658941795,0.011968506,11.96850562,41.55623574,390.705581,286.6142816,25.90924821,35.31885369,0.773209068,3.547069012,0.690344698,0.438168121,321.509576,26.29526789,26.29526789,3.433665155,52.47300301,1.912787437,3.645279147,1.520877718,-527.8110977,194.4347229,11.80666889,-0.060129878,36.54260391,11.99304692,41.55623574,413.8103553,394.5932485,-1.26554961,66.33,11.96850562,14.15056071,21.17937697,-5.71E-05,88.64065073,0,0,1,0,47677,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.992143,1681.190721,0.840598663,0.16075542,3,0.5,0: Broadleaf,2,TRUE,1658941795,390.7056071,415.4406429,21.15971071,14.11670714,384.8880357,20.83687143,500.0399643,90.34848214,0.049135407,27.31202857,27.31026071,999.9,0,0,10001.25,0,15.981825,-24.73512857,399.1515,421.3890714,7.042997857,415.4406429,14.11670714,1.911747143,1.275423214,16.73175,10.51220714,1999.992143,0.979995071,0.020004857,0,811.5041071,5.00063,15983.35357,17256.79643,38.437,38.42814286,37.937,37.687,39.39714286,1955.081071,39.91071429,0,1658941804,0,811.4746923,-0.966290612,-5.668376224,15983.33846,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-26.45775122,27.14474634,3.515556983,0,811.5652647,-1.376638663,0.256269195,0,7.067946585,-0.322255819,0.041976763,0,0,3,0/3,2.97318,2.7023,0.0845931,0.0880902,0.0946768,0.0720951,35685.6,38840.8,35327.2,38630.1,45344.2,51761.5,55213.7,61947.5,1.9928,1.8408,0.121444,0,25.3311,999.9,52.228,28.611,22.732,60.365,47.7364,1,-0.054187,0.135534,20.1134,5.19812,12.004,4.976,3.2938,9999,9999,9999,618.6,1.86325,1.86798,1.86783,1.86899,1.86981,1.86587,1.86694,1.86832,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.787,0.3238,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23169.6,23169.6,0.974121,2.59033,1.54785,2.30713,1.34644,2.38403,32.9537,24.2276,18,504.027,406.735,25.0002,26.5428,30,26.4666,26.4086,19.4831,39.104,49.9218,25,386.272,14.3449,102.429,103.121,6
4,NA,1658941808,15,7/27/22 12:10,12:10:08,5,e_y_630_35,ozzie,1658941801,0.011942166,11.94216552,41.09181174,386.863826,283.7187868,25.64734852,34.9713584,0.771406894,3.544220348,0.688847615,0.437208773,321.5096288,26.30141791,26.30141791,3.434912161,52.50576645,1.914115214,3.645533326,1.520796948,-526.6494994,193.3308213,11.74950349,-0.059545773,27.25446065,11.92253691,41.09181174,398.3271233,383.9388545,-2.213256883,66.33,11.94216552,14.25373397,21.21623879,0.007756555,88.64065073,0,0,1,0,47814,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.992593,1681.191089,0.840598658,0.16075541,3,0.5,0: Broadleaf,2,TRUE,1658941801,386.8638519,405.9811111,21.17452593,14.17352222,381.068,20.85103704,500.0747037,90.34808519,0.04899007,27.31321852,27.31438889,999.9,0,0,9989.814815,0,15.98083333,-19.11723333,395.2325556,411.8172593,7.001005556,405.9811111,14.17352222,1.913077407,1.28055,16.74269259,10.5723,1999.992593,0.979995,0.020004933,0,811.4014815,5.00063,15981.55926,17256.8037,38.437,38.42781481,37.937,37.687,39.41862963,1955.081111,39.91037037,0,1658941808,0,811.3694615,-1.702837619,-23.87008558,15981.46923,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-22.6665561,61.29884739,6.508152847,0,811.4604118,-1.14178763,0.222206861,0,7.030100244,-0.576496725,0.064532346,0,0,3,0/3,2.97351,2.70323,0.0827666,0.0855947,0.0947874,0.0720631,35756.9,38947.4,35327.4,38630.5,45338.3,51763.3,55213.4,61947.7,1.992,1.8408,0.121742,0,25.3332,999.9,52.179,28.601,22.6962,60.405,47.4679,1,-0.0537805,0.13573,20.113,5.19812,12.0076,4.976,3.294,9999,9999,9999,618.6,1.86325,1.86801,1.86783,1.86905,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.727,0.3254,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23169.7,23169.7,0.941162,2.60254,1.54785,2.30713,1.34644,2.26685,32.9537,24.2101,18,503.518,406.739,25.0002,26.5451,30.0003,26.4689,26.4086,18.7995,38.8337,49.9218,25,365.965,14.3609,102.429,103.122,6
5,NA,1658941813,20,7/27/22 12:10,12:10:13,5,e_y_630_35,ozzie,1658941805,0.011901715,11.90171488,39.79515217,379.5574748,279.2187089,25.24044571,34.31073753,0.768401499,3.545632085,0.686476697,0.435678423,321.5098412,26.31190822,26.31190822,3.437040139,52.55899327,1.916203104,3.64581394,1.520837035,-524.8656262,191.6536863,11.64362654,-0.058472256,17.00336917,11.86057049,39.79515217,381.6598755,370.751303,-2.774426494,66.33,11.90171488,14.27564859,21.23846848,0.003964671,88.64065073,0,0,1,0,47379,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.993929,1681.192211,0.840598657,0.160755409,3,0.5,0: Broadleaf,2,TRUE,1658941805,379.5575,392.4585,21.19771429,14.23334643,373.8028929,20.8732,500.0807143,90.34778929,0.048895832,27.31453214,27.31634286,999.9,0,0,9995.535714,0,15.98577143,-12.90100036,387.7771786,398.1245,6.96437,392.4585,14.23334643,1.915166071,1.28595,16.75986786,10.63553929,1999.993929,0.979995071,0.020004857,0,810.9676071,5.00063,15973.68929,17256.825,38.437,38.43257143,37.937,37.687,39.42814286,1955.0825,39.91035714,0,1658941814,0,810.88572,-7.692692319,-168.6153849,15971.988,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-17.80799171,77.83110962,7.790301978,0,811.1877647,-3.466493511,0.461551671,0,6.997180976,-0.475229686,0.05792075,0,0,3,0/3,2.97287,2.70305,0.0804255,0.0824681,0.0948723,0.0722027,35848.5,39080.5,35327.7,38630.5,45335,51755.7,55214.8,61948.1,1.9922,1.8408,0.121593,0,25.3353,999.9,52.106,28.611,22.6772,60.805,47.512,1,-0.0533333,0.136383,20.113,5.19932,12.0076,4.976,3.2934,9999,9999,9999,618.6,1.86325,1.86807,1.86783,1.86902,1.86984,1.86587,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.652,0.3266,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23169.8,23169.7,0.908203,2.59399,1.54785,2.30713,1.34644,2.3999,32.9537,24.2188,18,503.671,406.755,25.0002,26.5473,30.0003,26.4711,26.4108,18.1689,38.8337,49.5508,25,352.483,14.374,102.431,103.122,6
6,NA,1658941818,25,7/27/22 12:10,12:10:18,5,e_y_630_35,ozzie,1658941811,0.011878125,11.87812541,38.12022196,367.55405,271.2237447,24.51770645,33.22563926,0.767230491,3.548392609,0.685597358,0.435106722,321.5127026,26.31967393,26.31967393,3.438616169,52.62672425,1.91888495,3.64621773,1.519731219,-523.8253307,190.678887,11.57595067,-0.057790421,8.91229844,11.84479495,38.12022196,364.7434613,355.8695273,-2.986360346,66.33,11.87812541,14.26920655,21.24472788,-0.000143179,88.64065073,0,0,1,0,47401,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.011852,1681.207267,0.840598652,0.160755399,3,0.5,0: Broadleaf,2,TRUE,1658941811,367.5540741,375.5126296,21.2274,14.27224444,361.8672222,20.90158889,500.0618889,90.34774815,0.048859552,27.31642222,27.31748519,999.9,0,0,10006.66667,0,15.98533333,-7.958480741,375.5252593,380.9492963,6.955162222,375.5126296,14.27224444,1.917847778,1.289464074,16.78191111,10.67659259,2000.011852,0.979995222,0.020004696,0,810.0709259,5.00063,15955.26667,17256.98148,38.437,38.437,37.937,37.687,39.43240741,1955.10037,39.91037037,0,1658941819,0,809.99476,-15.13738463,-315.5153852,15953.292,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-12.1650878,64.12930202,6.543516614,0,810.6704118,-8.476699766,0.921989445,0,6.972307073,-0.213757422,0.043091393,0,0,3,0/3,2.97368,2.70331,0.0778345,0.0797125,0.0949082,0.0723479,35948.6,39196.9,35326.9,38629.6,45332.3,51745.9,55213.7,61946.1,1.9918,1.841,0.12055,0,25.3353,999.9,52.057,28.601,22.6459,60.635,47.7244,1,-0.0532114,0.136819,20.1129,5.19812,12.0088,4.976,3.2938,9999,9999,9999,618.6,1.86322,1.86804,1.86783,1.86899,1.86984,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.571,0.3272,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23169.9,23169.8,0.874023,2.60376,1.54785,2.30713,1.34644,2.29248,32.9537,24.2188,18,503.407,406.883,25.0001,26.5496,30.0004,26.4711,26.413,17.4733,38.5468,49.5508,25,332.352,14.3919,102.429,103.119,6
7,NA,1658941823,30,7/27/22 12:10,12:10:23,5,e_y_630_35,ozzie,1658941815,0.011839526,11.83952564,36.19333776,354.7995486,262.8931933,23.76474848,32.07280466,0.764261913,3.549759331,0.683251315,0.433592782,321.5109808,26.32923539,26.32923539,3.440557507,52.67091267,1.920588906,3.646393822,1.519968601,-522.1230806,189.0802423,11.47507441,-0.056783122,4.148720824,11.82850839,36.19333776,347.820272,340.6853455,-3.10451645,66.33,11.83952564,14.33999275,21.27453576,0.002668388,88.64065073,0,0,1,0,47562,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.001071,1681.198211,0.840598655,0.160755404,3,0.5,0: Broadleaf,2,TRUE,1658941815,354.7995714,359.8061786,21.24616429,14.30078214,349.1847143,20.91953214,500.0674286,90.34805714,0.048914279,27.31724643,27.320725,999.9,0,0,10012.14286,0,15.99168571,-5.0065275,362.5012143,365.0257857,6.945395714,359.8061786,14.30078214,1.91955,1.292046786,16.79589286,10.706625,2000.001071,0.979995286,0.020004629,0,808.7120357,5.00063,15927.73571,17256.88571,38.437,38.437,37.937,37.687,39.43035714,1955.09,39.91035714,0,1658941823,0,808.60512,-19.69792304,-398.938461,15924.936,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-7.63537122,39.77964397,4.049456484,0,809.6053235,-15.562246,1.565497097,0,6.945682439,-0.039234146,0.020261879,1,1,3,3-Jan,2.9737,2.70326,0.0750931,0.0765335,0.0949397,0.0723794,36055.2,39331.6,35326.8,38629,45329.9,51743.1,55212.8,61944.9,1.9916,1.8398,0.121593,0,25.3375,999.9,52.008,28.611,22.6348,60.735,47.3438,1,-0.0531707,0.137037,20.1129,5.19692,12.0076,4.976,3.2938,9999,9999,9999,618.6,1.86319,1.86801,1.86783,1.86899,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.486,0.3275,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23169.9,23169.9,0.842285,2.60254,1.54785,2.30591,1.34644,2.37915,32.9537,24.2188,18,503.295,406.229,25,26.5518,30.0003,26.4734,26.4152,16.8311,38.5468,49.174,25,318.914,14.4073,102.428,103.118,6
8,NA,1658941828,35,7/27/22 12:10,12:10:28,5,e_y_630_35,ozzie,1658941821,0.011856048,11.85604792,34.7380101,339.284756,251.3202531,22.71859577,30.67032254,0.766429798,3.549865426,0.68498727,0.434710928,321.5116167,26.3278698,26.3278698,3.440280183,52.70442935,1.922057745,3.646861884,1.518222438,-522.8517134,189.7664788,11.51642492,-0.057193006,0.963653782,11.82914102,34.7380101,331.1165487,324.9748303,-3.127108745,66.33,11.85604792,14.32232773,21.27508061,0.001419006,88.64065073,0,0,1,0,47835,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.005185,1681.201656,0.840598648,0.160755392,3,0.5,0: Broadleaf,2,TRUE,1658941821,339.2847778,342.2708519,21.26240741,14.31626667,333.7574815,20.93507037,500.0312593,90.34785926,0.04913617,27.31943704,27.32743333,999.9,0,0,10012.59259,0,15.99351111,-2.985958519,346.6553704,347.2416296,6.946151481,342.2708519,14.31626667,1.921013333,1.293443704,16.80790741,10.72285926,2000.005185,0.979995556,0.020004341,0,806.9313704,5.00063,15892.57037,17256.91111,38.437,38.437,37.937,37.687,39.43011111,1955.094444,39.91,0,1658941829,0,806.8582308,-21.71398292,-419.5589747,15890.91923,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-4.763922683,28.23474564,2.958986917,0,808.2512353,-19.49497326,1.926539553,0,6.948106585,-0.078296446,0.019362459,1,1,3,3-Jan,2.97328,2.70321,0.0722451,0.0736458,0.0949559,0.0723106,36166.1,39454.9,35326.7,38629.3,45329.2,51747.5,55213.1,61945.7,1.9918,1.8406,0.12219,0,25.3396,999.9,51.935,28.611,22.6048,60.445,47.8125,1,-0.0531098,0.140959,20.113,5.19932,12.0064,4.9756,3.2938,9999,9999,9999,618.6,1.86325,1.86804,1.86783,1.86896,1.86981,1.86587,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.4,0.3279,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23170,23170,0.806885,2.60498,1.54785,2.30713,1.34644,2.35596,32.9537,24.2188,18,503.447,406.688,25.0006,26.554,30.0003,26.4756,26.4174,16.1232,38.2676,49.174,25,298.828,14.4203,102.428,103.119,6
9,NA,1658941833,40,7/27/22 12:10,12:10:33,5,e_y_630_35,ozzie,1658941825,0.011837661,11.83766107,32.58425495,325.1290152,242.308401,21.90398235,29.39072761,0.765112846,3.545547084,0.683846475,0.433983993,321.5067987,26.33212671,26.33212671,3.441144743,52.71928248,1.922759399,3.647165343,1.518385344,-522.0408533,188.9933843,11.48380326,-0.056867121,-1.513521535,11.81884983,32.58425495,314.1211312,309.4622061,-3.162953939,66.33,11.83766107,14.32791096,21.26754788,0.001735621,88.64065073,0,0,1,0,47654,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.975,1681.1763,0.840598657,0.160755409,3,0.5,0: Broadleaf,2,TRUE,1658941825,325.1290357,326.5263571,21.27013929,14.33043929,319.6816429,20.94246429,500.0559643,90.34792143,0.049201668,27.32085714,27.33673929,999.9,0,0,9995.178571,0,15.98971429,-1.397248464,332.1948214,331.2735714,6.9397125,326.5263571,14.33043929,1.921713929,1.294725357,16.81365357,10.73775357,1999.975,0.9799955,0.0200044,0,805.2921071,5.00063,15860.20357,17256.63929,38.437,38.437,37.937,37.687,39.43035714,1955.064643,39.91,0,1658941834,0,805.2102692,-20.65781197,-394.1777779,15858.41923,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-2.681191634,18.74622253,1.944623714,0,806.4689412,-21.22826583,2.093136093,0,6.945610244,-0.01800439,0.018169447,1,1,3,3-Jan,2.97404,2.70302,0.0693433,0.0702917,0.0949554,0.0723468,36278.8,39596.9,35326.3,38628.6,45328.5,51744.6,55212.3,61944.8,1.992,1.84,0.122339,0,25.3417,999.9,51.886,28.611,22.5816,60.785,47.484,1,-0.0528455,0.141547,20.113,5.19932,12.004,4.9752,3.2938,9999,9999,9999,618.6,1.86325,1.86801,1.86783,1.86902,1.86984,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.312,0.3277,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23170.1,23170.1,0.773926,2.60742,1.54785,2.30713,1.34644,2.34253,32.9537,24.2101,18,503.601,406.369,25.0003,26.5563,30.0001,26.4778,26.4196,15.4727,37.6507,48.7905,25,285.437,14.5573,102.427,103.117,6
10,NA,1658941838,45,7/27/22 12:10,12:10:38,5,e_y_630_35,ozzie,1658941831,0.011796316,11.79631561,31.12997816,308.8942397,229.4496411,20.74172638,27.92333764,0.760829053,3.548873215,0.680485943,0.431813062,321.5065914,26.34495522,26.34495522,3.443751309,52.72253689,1.923213015,3.647800596,1.520538294,-520.2175186,187.2849592,11.37022667,-0.055741352,-3.427581256,11.78961797,31.12997816,297.346119,293.521697,-3.152479221,66.33,11.79631561,14.37766095,21.29063697,0.002060434,88.64065073,0,0,1,0,47654,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.973704,1681.175211,0.840598658,0.160755409,3,0.5,0: Broadleaf,2,TRUE,1658941831,308.8942593,309.0227407,21.27501481,14.35265185,303.5385926,20.94713333,500.065963,90.34852222,0.049206367,27.32382963,27.34401852,999.9,0,0,10008.51852,0,15.98328889,-0.128437037,315.6087778,313.521963,6.922371111,309.0227407,14.35265185,1.922167778,1.296741111,16.81737037,10.76105556,1999.973704,0.979995667,0.020004222,0,803.6738519,5.00063,15828.03704,17256.62963,38.44866667,38.437,37.937,37.687,39.43240741,1955.063704,39.91,0,1658941838,0,803.7365769,-17.32516239,-337.4290598,15829.45385,15,0,--:--:--,1657551627,1657551629,0,0.403,0.009,9.41,0.087,417,17,1.61,0.59,-0.893596585,15.5866993,1.653303741,0,804.5219706,-18.66418639,1.8544552,0,6.923601951,-0.177363554,0.036274643,0,0,3,0/3,2.97368,2.70276,0.0663731,0.0672506,0.0950197,0.0729427,36395.3,39726.6,35327.1,38628.7,45325.4,51711.6,55212.6,61945.4,1.9928,1.84,0.122637,0,25.346,999.9,51.837,28.621,22.574,60.585,47.5521,1,-0.0527236,0.140741,20.1129,5.19932,12.004,4.976,3.2936,9999,9999,9999,618.6,1.86325,1.86804,1.86783,1.86899,1.86987,1.86584,1.86694,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.225,0.3287,3.634629165,0.005626752,2.30E-07,-2.96E-10,-0.044408054,-0.017765173,0.002050254,-1.69E-05,-3,1845,1,26,23170.2,23170.2,0.738525,2.60132,1.54785,2.30591,1.34644,2.38892,32.976,24.2188,18,504.152,406.386,24.9999,26.5586,30.0003,26.4801,26.4219,14.7593,37.3328,48.7905,25,265.322,14.6066,102.428,103.118,6
