id	well	abs_649	abs_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
blank	A1	0.225	0.212	0.236	0.223	-0.011	-0.011
blank	B1	0.263	0.246	0.236	0.223	0.027	0.023
blank	C1	0.22	0.21	0.236	0.223	-0.016	-0.013
3	A2	0.362	0.447	0.236	0.223	0.126	0.224
3	B2	0.373	0.462	0.236	0.223	0.137	0.239
3	C2	0.373	0.464	0.236	0.223	0.137	0.241
5	A3	0.311	0.384	0.236	0.223	0.075	0.161
5	B3	0.293	0.366	0.236	0.223	0.057	0.143
5	C3	0.335	0.405	0.236	0.223	NA	NA
6	A4	0.299	0.404	0.236	0.223	0.063	0.181
6	B4	0.319	0.427	0.236	0.223	0.083	0.204
6	C4	0.318	0.419	0.236	0.223	0.082	0.196
9	A5	0.322	0.386	0.236	0.223	0.086	0.163
9	B5	0.304	0.384	0.236	0.223	0.068	0.161
9	C5	0.265	0.346	0.236	0.223	NA	NA
11	A6	0.292	0.385	0.236	0.223	0.056	0.162
11	B6	0.262	0.361	0.236	0.223	NA	0.138
11	C6	0.289	0.382	0.236	0.223	0.053	0.159
12	A7	0.282	0.381	0.236	0.223	0.046	0.158
12	B7	0.272	0.372	0.236	0.223	NA	0.149
12	C7	0.289	0.389	0.236	0.223	0.053	0.166
15	A8	0.3	0.42	0.236	0.223	0.064	0.197
15	B8	0.304	0.41	0.236	0.223	0.068	0.187
15	C8	0.316	0.429	0.236	0.223	0.08	0.206
16	A9	0.305	0.429	0.236	0.223	0.069	0.206
16	B9	0.314	0.446	0.236	0.223	0.078	0.223
16	C9	0.304	0.433	0.236	0.223	0.068	0.21
17	A10	0.274	0.366	0.236	0.223	0.038	0.143
17	B10	0.269	0.368	0.236	0.223	0.033	0.145
17	C10	0.286	0.382	0.236	0.223	NA	0.159
18	A11	0.262	0.353	0.236	0.223	0.026	0.13
18	B11	0.262	0.357	0.236	0.223	0.026	0.134
18	C11	0.266	0.362	0.236	0.223	0.03	0.139
23	A12	0.337	0.41	0.236	0.223	NA	0.187
23	B12	0.261	0.333	0.236	0.223	0.025	0.11
23	C12	0.262	0.334	0.236	0.223	0.026	0.111
24	D1	0.343	0.392	0.236	0.223	0.107	0.169
24	E1	0.345	0.391	0.236	0.223	0.109	0.168
24	F1	0.347	0.402	0.236	0.223	0.111	0.179
25	D2	0.438	0.579	0.236	0.223	0.202	0.356
25	E2	0.378	0.524	0.236	0.223	0.142	0.301
25	F2	0.447	0.554	0.236	0.223	0.211	0.331
26	D3	0.325	0.409	0.236	0.223	0.089	0.186
26	E3	0.281	0.355	0.236	0.223	NA	NA
26	F3	0.323	0.393	0.236	0.223	0.087	0.17
28	D4	0.338	0.431	0.236	0.223	0.102	0.208
28	E4	0.291	0.396	0.236	0.223	NA	0.173
28	F4	0.318	0.434	0.236	0.223	0.082	0.211
19	D5	0.287	0.372	0.236	0.223	0.051	0.149
19	E5	0.271	0.355	0.236	0.223	0.035	0.132
19	F5	0.284	0.367	0.236	0.223	0.048	0.144
20	D6	0.29	0.4	0.236	0.223	0.054	0.177
20	E6	0.285	0.397	0.236	0.223	0.049	0.174
20	F6	0.301	0.414	0.236	0.223	0.065	0.191
29	D7	0.286	0.391	0.236	0.223	0.05	0.168
29	E7	0.286	0.391	0.236	0.223	0.05	0.168
29	F7	0.289	0.397	0.236	0.223	0.053	0.174
30	D8	0.289	0.391	0.236	0.223	0.053	0.168
30	E8	0.28	0.381	0.236	0.223	0.044	0.158
30	F8	0.283	0.385	0.236	0.223	0.047	0.162
33	D9	0.345	0.517	0.236	0.223	0.109	0.294
33	E9	0.333	0.508	0.236	0.223	0.097	0.285
33	F9	0.335	0.513	0.236	0.223	0.099	0.29
34	D10	0.34	0.516	0.236	0.223	0.104	0.293
34	E10	0.324	0.502	0.236	0.223	0.088	0.279
34	F10	0.335	0.511	0.236	0.223	0.099	0.288
36	D11	0.342	0.529	0.236	0.223	0.106	0.306
36	E11	0.349	0.536	0.236	0.223	0.113	0.313
36	F11	0.374	0.57	0.236	0.223	NA	0.347
38	D12	0.223	0.244	0.236	0.223	-0.013	0.021
38	E12	0.217	0.236	0.236	0.223	-0.019	NA
38	F12	0.233	0.252	0.236	0.223	-0.003	0.029
39	G1	0.387	0.392	0.236	0.223	0.151	0.169
39	G2	0.282	0.312	0.236	0.223	0.046	0.089
39	G3	0.224	0.233	0.236	0.223	NA	NA
40	G4	0.252	0.293	0.236	0.223	NA	0.07
40	G5	0.244	0.287	0.236	0.223	0.008	0.064
40	G6	0.243	0.287	0.236	0.223	0.007	0.064
42	G7	0.228	0.253	0.236	0.223	-0.008	0.03
42	G8	0.233	0.256	0.236	0.223	-0.003	0.033
42	G9	0.232	0.257	0.236	0.223	-0.004	0.034
44	H4	0.23	0.252	0.236	0.223	-0.006	0.029
44	H5	0.221	0.242	0.236	0.223	-0.015	0.019
44	H6	0.22	0.242	0.236	0.223	-0.016	0.019
46	H7	0.24	0.275	0.236	0.223	0.004	0.052
46	H8	0.232	0.269	0.236	0.223	NA	0.046
46	H9	0.23	0.267	0.236	0.223	NA	0.044
49	H10	0.236	0.283	0.236	0.223	0	0.06
49	H11	0.244	0.29	0.236	0.223	0.008	0.067
49	H12	0.257	0.304	0.236	0.223	0.021	0.081
